id,text,label
0,haan yaar neha kab karega woh post usne na sach mein photoshoot karna chahiye phir woh post karega,1
1,television media congress ke liye nhi h ye toh aapko pata chal hi gya hoga achha hoga ki congress ke,0
2,jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar bihar ki jant,2
3,baih tere itjey kya jalti hai pakistan se chutiye khelne de na unhe bc tu indian bhi nahi h,1
4,can you answer miscalculated votes on each seat one vote matters hai aur apne dhji,2
5,bahut hi samajhdari se cingress ne ye faisla liya hai aur ummeed karta hoon k desh ke sabhi party,0
6,tu safar mera tu hi meri manzil .... tere bina guzara aye dil hai mushkil .... i love u !!,1
7,dobar se pm bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k,0
8,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba,1
9,tani abe haattt tum flop logo ki aukaad hi kiya h chutiya log ja aapijaan ki chaplusi kar bad,1
10,evryone shit the fuck up,1
11,haram khor log ulta chor kotowal ko dantey !! mulk torney ki bat kerney waley ko or phulon ke har pehn,1
12,army fin also stade de france is preparing for the concert looks so beautiful see their post on instagram,2
13,phir se lut chalu ho gaya bjp walo tumhe kuch chut mil raha hai ya nahi milna to chahiye q ki,2
14,jinko khud nahi pta ki ramcharitmanas kya hai wo bhej rahe h bjp neta ko phle khud samjhna chahiye f,2
15,abe yhi hai ram rajya kya jisme sbhi sale harami ho jo sale itne berahm se maar rhe ho modi dekhna be sale tere,2
16,duniya me dil koi kabhi na dadka hota dadkha hai dil a yar mil ye pyar ka izhar hai kaho na pyar hai do premi do p,0
17,sharma saw the episode nice one sir maan gaye yaar sharma sir aap bahut himmat wa,2
18,ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai ..,0
19,mamta banerjee na jane ho kya hai tumko ye desh ram ka hai haar ka ghum m dubi ho bus b,0
20,still far better than mms govt ... so if u r so connected with numbers and economy .... can u share your,2
21,woo hoo cricket world cup starts today good luck to hosts in the tournament hope for a good st,2
22,sadji kisi ne bheja h apke liye,1
23,gadkari sir badhai ho sir agra ke meyar ko smjhao kuch kare .... modiji raj is ..... ramraj .... but ...,1
24,i give araki a lot of credit for how kuch detail and work goes to making his characters then again hes been at it,0
25,modi ji ye sab to hota rahega lekin pehle ram mandir banawao ... dhara hatao .. hindurastra ghosit karwao ... logo,1
26,pagol kuute ke samne roti dalna sahi nahi hai yeh sholay me thakur saab bolke geye the logbog saal p,1
27,im so proud of you !!!! i love you .. congratulations to you all your homies,0
28,muslims muslims muslims jab musalmaano ko hi unki khudki izzat ki khud ke desh ki khud ke hone ki khud ki naslo ki,2
29,hadd hai kamine pan ki aapko pata hai ye kev jail gaya hai ye bina order ke railway platform pa,2
30,it's not vishwas that u guys want .. its modiji that u dont want .. even if god comes and tel,2
31,nhi g ham ap ki trha nhi he ptwari ki olad ham pakistani he aur pakistan sy pyar krty h,0
32,jai shri ram haz turned out to be the vande mataram of the day,2
33,best wishes for world cup and eid mubarak to you from muzaffar hasan national general secretary ljp,0
34,actually inke pass ab naaz karne ke liye kuch bacha hi nahi hai to haqikat pasand ban,1
35,no one me tryna find the perfect watermelon,1
36,he sort of like caused my love for pomeranians here is a picture of her with her chew toy in her litt,1
37,greetings to dearest friend shri ji on their birthday maa aashapura bless you with lots of love happ,1
38,marwaadi roshan oye roshan meh jcb ki khudai dekh k aaya roshan,1
39,all d other,2
40,tum apny indian ki fikkar karo pakistan ko hum khud dykh lyngy mukti bahini nahi ban,0
41,up ki sarkar jiski bunyaad pe tiki h wo aaj apne mukaam pe pahunch gayi .... laghusanka ki deri h fir,2
42,alvida jumma-2019 mubarak to all ... duwa ki guzarish .....,1
43,sir ye modi ke name pr vot pada h ap kabhi ao yamuna nagar ki rajiv garden bank calony me dekho logo ka,2
44,jyda gyan na pelo aur democracy ka majak udana band kro thoda competition dete aur ye baat bolte to thi,1
45,khan bhai ankush khush raho i'll pray for u .. coz i know nafrat se kabhi kis,0
46,now this i too much ab sare tweet arsal ke support me jab jiya ka man nhi and wo chai nhi bana sakti yasit ke liy,2
47,mat kaho dil se to nahi ho or wese shakal ka to mjhe pata nahi but aesa kch matter nahi krta,2
48,thx to every single memer for making our day u guys r amazing jindabaad,2
49,here to fir jo atankwadi uski jaat musalman q hoti or jo all ready musalman h woh yeh baat q,2
50,tum hume yun bhula na paoge ....,0
