id,text,label
0,nehantics haan yaar neha post usne sach photoshoot phir post,1
1,rahulgandhi televis media congress h ye aapko gya achha congress ke,0
2,amitshah narendramodi all india nrc lagu w kashmir dhara ko khatam ham indian apse umid,2
3,nehr typomantri anjanaomkashyap pagal they real issu mandir import hindu khatre mei,1
4,narendramodi jeet dher sari subh kamnaye modi ji asha jistarah desh janta khas bihar jant,2
5,fakeionist samjhotaxpress plichapel topi walay babu tau new job hougi humey chutti kesay milay gi,0
6,aajtak syedasimwaqar chitraaum syedzafarbjp ye modi media walon maza ata hindu muslim debate,1
7,tarekfatah baih itjey kya jalti pakistan se therealpcb chutiy khelne indian h,0
8,desimarthastew hehe i saw come and actual someon shaadi,1
9,ecisveep can answer miscalcul vote seat one vote matters deshkamahatyohar dhji,1
10,mahaali allah pak os dil darwaza kbi krta sb k lyhe ache ehsas aor dua dil ma rkhta aajzi,1
11,ravishkumarblog bahut samajhdari cingress faisla aur ummeed hoon desh parti,1
12,rt mastani tu safar mera tu hi meri manzil tere bina guzara aye dil hai mushkil i love u iamsrk,2
13,dobar pm bnne aapko dher sari shubhakamnyen ummid aapke isa karykala desh bhut nyi uplbadhiyon,2
14,siitae we face life togeth spend money us still my money,2
15,waah khub likha shama jala roshan kardeta ba,2
16,tani yabikikainaaat abe haattt flop logo aukaad kiya h chutiya aapijaan chaplusi bad,0
17,marrjao shine star ohho very beauti eyes yarrr,2
18,evryone shit the fuck up,0
19,atifthepoet haram khor ulta chor kotowal dantey mulk torney bat kerney waley phulon pehn,0
20,rt bt armi fin also stade de franc prepar concert look beautiful see post instagram,2
21,aajtak jai shree ram jarurat aandolan guruji modi h mumkinn h pl trust pm,2
22,phir lut chalu bjp walo tumhe chut milna ki,1
23,amarujalanews jinko nahi pta ramcharitmanas bhej h bjp neta samjhna chahiye f,1
24,abe yhi ram rajya jisme sbhi sale harami jo sale berahm maar modi dekhna sale,0
25,nsfw hs maybe ill fa i feel thing,1
26,duniya dil dadka dadkha dil yar pyar izhar kaho pyar do premi p,1
27,im poor poorev happi kase god,0
28,madam sushmaswaraj ji alway miss videsh mantri,2
29,abhisar sharma newsclickin saw episod nice maan yaar abhisar sharma himmat wa,2
30,theskindoctor happi birthday doctor sahab bhagwaan aapko khush swasth rkhe hme creativ hansaate,2
31,indiatoday teri kimat dokodi amit shah captur telegana soon kcr resign,0
32,sahibasafeena rubikaliyaquat bhe poj mahe chipka ker rakhy bahen pyar,2
33,mamataoffici mamta banerje jane kya hai tumko desh ram ka hai jaishriram haar ka ghum dubi bus b,0
34,sakshijoshii still far better mm govt u r connect number economi u share,1
35,sunoo chanda make gentl nice relat someon life sahare zarort parti ha,1
36,sunoo chanda hope fr best d,1
37,woo hoo cricket world cup start today good luck host englandcricket tournament hope good st,1
38,munneb famili background ni sqtai kaee ldkiyan fake naam sai ids banati h n pic upload krti bina ghr walu ijazat,1
39,drmanojrajoria maheshy mp sahab dr manoj rajoriya g jeet haardik subhkamnaye,2
40,koi ghum maar murder rape fuck shred bit,0
41,back karate chopped that cold quickly feel good feel good waaag,2
42,rt beingashu arvindkejriw sadji bheja h apke,1
43,nitin gadkari sir badhai sir agra meyar smjhao modiji raj ramraj but,2
44,dillidurast this paint famou indian ad hidden which tne favourit symbol ad spot anyon k,1
45,i fckn pist i lost damn ysl shade,0
46,i give araki lot credit detail work goe make charact then he,2
47,modi ji rahega ram mandir banawao dhara hatao hindurastra ghosit karwao logo,2
48,indiatoday pagol kuute samne roti dalna sholay thakur saab bolke geye logbog saal p,2
49,rt smallssbabeyy im so proud of you i love you congratul homi,2
50,muslim muslim muslim musalmaano khudki izzat desh naslo,0
51,akhileshpsingh hadd kamine pan aapko ye kev jail ye bina order ke railway platform pa,0
52,smuk indianexpress it vishwas u guy want its modiji u even god come tel,0
53,roflvoic parti candidate nahi modi jitana hey vote,1
54,asimrafi chaudharyumard nhi g ham ap trha ptwari olad ham pakistani pakistan sy pyar krty h,2
55,mdkashifali cpimspeak narendramodi manakgupta tum sudhroge fact check bat chutiye,0
56,abpanandatv jai shri ram haz turn vande mataram day irajdeep republ amitmalviya,1
57,hardikpandya best wish world cup eid mubarak muzaffar hasan nation gener secretari ljp,1
58,sksushilm aarthik madad pakistan aawam hak aur rss ke propoganda public pas,1
59,ye ham dushman wafadari daawa ham think someth,1
60,weirdlyprob nishupedia actual pass naaz bacha haqikat pasand ban,0
61,rt afghannextdoor no me tryna find perfect watermelon,1
62,sweetnsaltyy shoaibmph match zaror dekhna dukh phr jhalna khel talent parchiyo baserra,1
63,jungkookmh he sort like caus love pomeranian pictur chew toy litt,2
64,iaurentsai awwwi thank lau morn,2
65,rt kunalkamra you mean problem democrat vivek katori attent bheek mang uspe khoon laga,0
66,greet dearest friend shri kuldeepsinh ji birthday maa aashapura bless lot love happ,2
67,iam wonda in month ramadan posit heart desir prayer famili friend grant insha allah,2
68,rt guy marwaadi roshan oye roshan meh jcb khudai roshan,1
69,indiatvnew zeenewshindi rajatsharmalive sudhirchaudhari incindia yadavakhilesh arvindkejriwal,1
70,rt ghost spotter anikjaat ye sirf pauranik kathaon payi jaati vaastavikta sambandh,1
71,rt ani bjp leader vishwa sarang bhopal tabaadla udyog congress sarkar phal vidhayak vyapar kendrabindu h,1
72,divyanshmohit gulbukhari tum apni indian fikkar karo pakistan dykh lyngi mukti bahini ban,1
73,roflgandhi up sarkar bunyaad tiki h mukaam pahunch laghusanka deri h,2
74,alvida jumma mubarak to all duwa ki guzarish,2
75,mlkhattar sir modi pr vot pada h kabhi ao yamuna nagar rajiv garden bank caloni dekho logo ka,1
76,lambaalka jyda gyan pelo aur democracy majak udana band kro thoda competit dete baat thi,2
77,ankushmourya naushadalee gauahar khan bhai ankush khush raho ill pray u coz i nafrat,2
78,now sare tweet arsal support jab jiya man chai yasit liy,1
79,sardanarohit jaaz saab salo saal pend case soultion maza inko public pais monthli case miljaye,0
80,rt satguruterirhmt secretofposit derasachasauda gurmeetramrahim papaji dhan dhan satguru aasra good morn ji mugje,2
81,she bachi piec maal she rehmat,1
82,rt kch kaho dil wese shakal aesa kch matter krta,1
83,thx everi singl memer make day u r amaz jcb jindabaad jcbkikudhayi jcbkikhudaai,2
84,rt zeetv nonstop hoga entertain par perform watch srgmplilchamp satsun pm beingsalmank,1
85,shayri here kanhaiyakumar to atankwadi uski jaat musalman readi musalman h baat q,0
86,tum hume yun bhula paoge,1
87,squirrel soul toni stark dil leke ghum,2
88,mixedraita gunde saale ac hall baith mt bhonk yogendrayadav aukat h gurgaon bnde c,0
89,bengal bjp mei tmc galat neta app bachane jogdan party support barn baj,1
90,emenaio i actual ars liverpool win good the premier leagu joke still stand alreadi,2
91,happy birthday pretti girl thank u good agn memori card soon hahahahaha enjoy day,2
92,oryamaqbool jan sharam haya qimat lagwai liay kute seat miliy har haqomat talway chatni,0
93,ppbajpai sir life sapna kabhe din mulakaat kerna netaaon fan,1
94,jaavedjaaferi iamsrk meezaanj sharminsegal thank dear shahrukh love encourag,2
95,sbond ani bhai shariyath pahele india sirf muslims liyah rahegi inshallah,2
96,beingsalmankhan bharatthiseid bharat loveusalman superb look handsom,2
97,saleemk bohat pakhtono pashtunistaan nasha charha howa aj hosh jao wrna sach mar parhe gi bar,0
98,dhup aarti shri sai baba mandir shirdi may baba bless happi world om sai ram,2
